ags,57053790,-181,84,9645,66,-28,110
ags,57053791,-125,84,9638,50,-30,94
ags,57053792,-145,79,9743,53,-36,111
ags,57053793,-172,43,9670,73,-46,123
ags,57053794,-145,120,9606,89,-38,138
ags,57053795,-123,79,9501,74,-30,127
ags,57053796,-157,139,9555,64,-20,125
ags,57053797,-181,47,9567,76,-31,110
ags,57053798,-118,16,9658,64,-36,108
ags,57053799,-181,43,9697,60,-36,130
ags,57053800,-228,65,9601,62,-34,124
ags,57053801,-196,94,9582,66,-23,147
ags,57053802,-189,77,9660,66,-19,141
ags,57053803,-211,101,9648,74,-23,123
ags,57053804,-176,112,9706,66,-19,119
ags,57053805,-133,101,9663,56,-9,124
ags,57053806,-101,96,9728,59,-17,116
ags,57053807,-130,55,9782,68,-30,134
ags,57053808,-186,18,9689,49,-14,167
ags,57053809,-162,79,9638,56,-20,150
ags,57053810,-162,40,9684,60,-22,136
ags,57053811,-152,55,9609,62,-25,141
ags,57053812,-172,79,9560,77,-29,153
ags,57053813,-162,52,9687,75,-29,138
ags,57053814,-128,30,9684,56,-30,124
ags,57053815,-191,28,9697,63,-35,121
ags,57053816,-213,43,9616,51,-35,106
ags,57053817,-189,79,9582,49,-27,121
ags,57053818,-191,55,9606,60,-32,126
ags,57053819,-189,67,9621,72,-28,114
ags,57053820,-223,52,9643,57,-27,119
ags,57053821,-196,21,9643,61,-32,123
ags,57053822,-164,38,9658,66,-19,126
ags,57053823,-164,74,9614,63,-15,129
ags,57053824,-155,60,9548,69,-43,126
ags,57053825,-230,-11,9660,62,-40,128
ags,57053826,-159,18,9631,63,-33,121
ags,57053827,-167,104,9584,59,-43,120
ags,57053828,-157,104,9579,56,-37,124
ags,57053829,-213,106,9643,60,-24,132
ags,57053830,-115,52,9643,58,-17,142
ags,57053831,-174,94,9650,52,-34,126
ags,57053832,-203,122,9702,53,-30,124
ags,57053833,-174,60,9711,53,-43,128
ags,57053834,-245,60,9721,70,-52,127
ags,57053835,-279,50,9670,76,-39,114
